country,region,sub-region,retail-and-recreation,grocery-and-pharmacy,parks,transit-stations,workplaces,residential
US,Missouri,Dade County,,,,,-13,
US,Missouri,Dallas County,-11,8,,,-16,
US,Missouri,Daviess County,,,,,-13,
US,Missouri,DeKalb County,-7,3,,,-18,
US,Missouri,Dent County,0,,,,-5,
US,Missouri,Douglas County,-5,-14,,,-21,
US,Missouri,Dunklin County,-15,10,,,-23,
US,Missouri,Franklin County,-33,2,61,-12,-25,8
US,Missouri,Gasconade County,-22,,,,-25,
US,Missouri,Gentry County,,,,,-34,
US,Missouri,Greene County,-45,-30,43,-34,-36,10
US,Missouri,Grundy County,-16,-7,,,-10,
US,Missouri,Harrison County,-25,-20,,-15,-20,
US,Missouri,Henry County,-9,2,,,-20,-1
US,Missouri,Hickory County,,,,,-2,
US,Missouri,Howard County,,,,,-23,
US,Missouri,Howell County,-36,-16,,-24,-28,12
US,Missouri,Iron County,-18,4,104,,-9,
US,Missouri,Jackson County,-43,-14,28,-13,-36,10
US,Missouri,Jasper County,-26,-10,42,-11,-22,7
US,Missouri,Jefferson County,-36,-16,94,6,-33,9
US,Missouri,Johnson County,-28,-5,,,-20,16
US,Missouri,Laclede County,-21,-2,,,-22,13
US,Missouri,Lafayette County,-24,-8,,-19,-24,13
US,Missouri,Lawrence County,-5,-2,,-17,-25,11
US,Missouri,Lewis County,-14,,,,-13,
US,Missouri,Lincoln County,-40,-14,,,-32,18
US,Missouri,Linn County,-19,-7,,,-7,
US,Missouri,Livingston County,-15,-6,,,-25,
US,Missouri,Macon County,-29,-19,,-30,-19,
US,Missouri,Madison County,-5,,,,-22,
US,Missouri,Maries County,,,,,-21,
US,Missouri,Marion County,-38,1,,-46,-26,13
US,Missouri,McDonald County,-9,9,,,-25,-4
US,Missouri,Miller County,-15,3,-32,,-24,-3
US,Missouri,Mississippi County,-38,,,-13,-16,
US,Missouri,Moniteau County,-18,14,,,-25,
US,Missouri,Monroe County,-54,,,,-24,
US,Missouri,Montgomery County,-54,-8,,,-18,
US,Missouri,Morgan County,-17,23,,,-33,
US,Missouri,New Madrid County,-22,-4,,-12,-23,
US,Missouri,Newton County,-27,-7,7,-19,-26,13
US,Missouri,Nodaway County,-30,-10,,,-16,
US,Missouri,Oregon County,-2,4,,,-19,
US,Missouri,Osage County,-47,-6,,,-26,
US,Missouri,Ozark County,,,,,-17,
US,Missouri,Pemiscot County,-37,5,,-27,-26,
US,Missouri,Perry County,-33,-13,,,-33,
US,Missouri,Pettis County,-27,7,,,-22,15
US,Missouri,Phelps County,-37,-17,,-18,-27,16
US,Missouri,Pike County,-28,-2,,,-26,
US,Missouri,Platte County,-46,15,-19,-80,-40,15
US,Missouri,Polk County,-24,-13,-46,,-23,10
US,Missouri,Pulaski County,-32,-9,,-45,-19,13
US,Missouri,Putnam County,,,,,-28,
US,Missouri,Ralls County,-54,,,-9,-22,
US,Missouri,Randolph County,-31,-17,,,-18,1
US,Missouri,Ray County,-14,1,,,-22,7
US,Missouri,Ripley County,-5,-2,,,-28,
US,Missouri,Saline County,-26,0,,,3,0
US,Missouri,Scott County,-34,0,,-19,-21,11
US,Missouri,Shannon County,,,,,-29,
US,Missouri,Shelby County,,,,,-28,
US,Missouri,St. Charles County,-45,-13,63,-16,-37,11
US,Missouri,St. Clair County,-27,-4,,,-17,
US,Missouri,St. Francois County,-26,3,-29,,-15,13
US,Missouri,St. Louis County,-45,-21,87,-59,-38,11
US,Missouri,St. Louis,-52,-7,34,-35,-36,11
US,Missouri,Ste. Genevieve County,-30,,,-3,-17,
US,Missouri,Stoddard County,-19,-5,,,-18,-2
US,Missouri,Stone County,-16,19,,,-39,9
US,Missouri,Sullivan County,,,,,-7,
US,Missouri,Taney County,-47,-7,41,,-49,13
US,Missouri,Texas County,-21,13,,,-23,
US,Missouri,Vernon County,-21,13,,-24,-14,
US,Missouri,Warren County,-25,-5,,-4,-26,16
US,Missouri,Washington County,-9,-9,,,-14,
US,Missouri,Wayne County,-21,6,,,-29,
US,Missouri,Webster County,-1,-13,,-38,-31,16
US,Missouri,Wright County,-27,2,,,-19,
US,Montana,Beaverhead County,-31,-11,,,-31,
US,Montana,Big Horn County,-51,-7,,-13,-28,
US,Montana,Blaine County,,,,,-41,
US,Montana,Broadwater County,-62,-3,,,-33,
US,Montana,Carbon County,-63,-30,,,-45,
US,Montana,Cascade County,-48,-26,-22,-70,-32,12
US,Montana,Custer County,-48,,,,-28,
US,Montana,Dawson County,-60,-7,,,-23,
US,Montana,Deer Lodge County,-57,-26,,,-31,
US,Montana,Fergus County,-45,-31,,,-32,
US,Montana,Flathead County,-53,-29,-35,-50,-42,10
US,Montana,Gallatin County,-63,-39,61,-66,-51,12
US,Montana,Glacier County,-71,-28,,,-45,
US,Montana,Hill County,-42,-4,,,-24,
US,Montana,Jefferson County,-69,,,,-36,
US,Montana,Lake County,-41,-22,,,-31,1
US,Montana,Lewis and Clark County,-51,-34,19,,-37,18
US,Montana,Lincoln County,-79,-29,,,-38,
US,Montana,Madison County,-100,,-42,,-44,
US,Montana,Mineral County,,-54,,,-38,
US,Montana,Missoula County,-55,-30,31,-28,-36,11
US,Montana,Park County,-54,-29,,,-44,
US,Montana,Pondera County,-53,,,,,
US,Montana,Powell County,,,,,-30,
US,Montana,Ravalli County,-49,-20,,,-39,11
US,Montana,Richland County,-36,-22,,,-41,
US,Montana,Roosevelt County,-25,-20,,,-42,
US,Montana,Rosebud County,,,,,-30,
US,Montana,Sanders County,-62,-27,,,-36,
US,Montana,Silver Bow County,-45,-15,,-20,-37,13
US,Montana,Stillwater County,-47,,,-4,-33,
US,Montana,Teton County,,,,,-38,
US,Montana,Valley County,-64,,,,-28,
US,Montana,Yellowstone County,-49,-21,114,-45,-32,8
US,Nebraska,Adams County,-24,-14,,,-18,13
US,Nebraska,Box Butte County,-20,-7,,,-14,
US,Nebraska,Buffalo County,-39,-16,,-3,-28,17
US,Nebraska,Burt County,-58,,,,-18,
US,Nebraska,Butler County,-53,,,,-19,
US,Nebraska,Cass County,-33,,-63,,-28,12
US,Nebraska,Cedar County,,,,,-19,
US,Nebraska,Cherry County,-70,,,,-34,
US,Nebraska,Cheyenne County,-21,-20,,-1,-26,
US,Nebraska,Clay County,,,,,-28,
US,Nebraska,Colfax County,-52,-10,,,-6,
US,Nebraska,Cuming County,-29,,,,-24,
US,Nebraska,Custer County,-33,-14,,,-14,
US,Nebraska,Dakota County,-10,7,,,-23,1
US,Nebraska,Dawes County,-26,,,,-30,
US,Nebraska,Dawson County,-19,3,,,-12,-2
US,Nebraska,Deuel County,,,,-5,,
US,Nebraska,Dixon County,,,,,-25,
US,Nebraska,Dodge County,-21,-5,,-2,-22,13
US,Nebraska,Douglas County,-41,-7,55,-38,-30,9
US,Nebraska,Fillmore County,,,,,-20,
US,Nebraska,Gage County,-22,6,,,-21,1
US,Nebraska,Hall County,-35,-20,,-15,-26,12
US,Nebraska,Hamilton County,-58,,,-6,-22,
US,Nebraska,Holt County,-20,6,,,-9,
US,Nebraska,Howard County,,,,,-21,
US,Nebraska,Jefferson County,-13,,,,-22,
US,Nebraska,Kearney County,,,,,-29,
US,Nebraska,Keith County,-31,-20,,14,-26,
US,Nebraska,Kimball County,,,,,-41,
US,Nebraska,Knox County,,,,,-25,
US,Nebraska,Lancaster County,-39,-19,156,-18,-26,8
US,Nebraska,Lincoln County,-29,-4,,-8,-14,14
US,Nebraska,Madison County,-38,-7,,,-17,14
US,Nebraska,Merrick County,-55,,,,-24,
US,Nebraska,Morrill County,,,,,-22,
US,Nebraska,Nemaha County,-56,,,,-27,
US,Nebraska,Otoe County,-8,3,,,-16,
US,Nebraska,Phelps County,-20,-8,,,-30,
US,Nebraska,Pierce County,,,,,-24,
US,Nebraska,Platte County,-34,-2,,-16,-17,15
US,Nebraska,Polk County,,,,,-22,
US,Nebraska,Red Willow County,-16,,,,-18,
US,Nebraska,Richardson County,-24,-2,,,-13,
US,Nebraska,Saline County,-17,-10,,,-24,
US,Nebraska,Sarpy County,-36,-15,191,23,-30,9
US,Nebraska,Saunders County,-29,18,,,-27,
US,Nebraska,Scotts Bluff County,-25,-3,,,-18,14
US,Nebraska,Seward County,-29,,,,-32,
US,Nebraska,Stanton County,,,,,-20,
US,Nebraska,Thayer County,,,,,-19,
US,Nebraska,Thurston County,,,,,-30,
US,Nebraska,Washington County,-18,-9,,,-23,
US,Nebraska,Wayne County,-53,,,,-26,
US,Nebraska,York County,-39,,,-12,-31,
US,Nevada,Carson City,-36,-13,-3,,-35,18
US,Nevada,Churchill County,-27,-11,,,-28,5
US,Nevada,Clark County,-48,-26,-47,-66,-56,15
US,Nevada,Douglas County,-58,-35,-35,,-47,18
US,Nevada,Elko County,-40,10,7,-11,-35,17
US,Nevada,Humboldt County,-46,-1,,-40,-20,
US,Nevada,Lander County,-59,-12,,,-41,
US,Nevada,Lyon County,-14,-5,,-10,-27,15
US,Nevada,Mineral County,,,,-29,,
US,Nevada,Nye County,-26,-15,-52,-20,-40,13
US,Nevada,Pershing County,,,,6,-32,
US,Nevada,Storey County,-73,,,,-38,
US,Nevada,Washoe County,-44,-21,6,-64,-42,12
US,Nevada,White Pine County,-65,-4,,-4,-23,
US,New Hampshire,Belknap County,-52,-28,-53,,-35,18
US,New Hampshire,Carroll County,-69,-30,-66,,-51,19
US,New Hampshire,Cheshire County,-51,-36,-46,,-34,18
US,New Hampshire,Coos County,-52,-21,-68,,-37,10
US,New Hampshire,Grafton County,-62,-37,-71,-45,-44,20
US,New Hampshire,Hillsborough County,-62,-37,-55,-57,-38,14
US,New Hampshire,Merrimack County,-58,-31,-59,-76,-37,13
US,New Hampshire,Rockingham County,-59,-36,-63,-60,-39,14
US,New Hampshire,Strafford County,-51,-38,-53,-39,-38,13
US,New Hampshire,Sullivan County,-45,-22,,,-28,16
US,New Jersey,Atlantic County,-56,-30,11,-72,-55,16
US,New Jersey,Bergen County,-66,-37,-64,-64,-50,19
US,New Jersey,Burlington County,-53,-39,7,-53,-38,14
US,New Jersey,Camden County,-50,-30,-29,-59,-37,13
US,New Jersey,Cape May County,-49,-27,-14,-59,-41,19
US,New Jersey,Cumberland County,-36,-19,-35,-28,-25,10
US,New Jersey,Essex County,-60,-27,-50,-78,-43,17
US,New Jersey,Gloucester County,-54,-30,-3,-15,-36,13
US,New Jersey,Hudson County,-62,-38,-69,-72,-51,18
US,New Jersey,Hunterdon County,-64,-35,21,-31,-42,28
US,New Jersey,Mercer County,-55,-25,-27,-74,-43,15
US,New Jersey,Middlesex County,-64,-41,-31,-77,-44,17
US,New Jersey,Monmouth County,-62,-34,-32,-67,-44,17
US,New Jersey,Morris County,-63,-39,-43,-64,-47,18
US,New Jersey,Ocean County,-55,-31,-25,-58,-42,15
US,New Jersey,Passaic County,-66,-34,-53,-55,-46,16
US,New Jersey,Salem County,-39,-21,-22,-61,-28,18
US,New Jersey,Somerset County,-61,-36,-31,-60,-47,17
US,New Jersey,Sussex County,-57,-27,-39,-53,-39,15
US,New Jersey,Union County,-62,-32,-40,-61,-44,17
US,New Jersey,Warren County,-47,-37,-35,-40,-35,14
US,New Mexico,Bernalillo County,-46,-22,8,-43,-37,11
US,New Mexico,Chaves County,-46,-26,-41,-49,-26,12
US,New Mexico,Cibola County,-27,-7,,-16,-30,
US,New Mexico,Colfax County,-62,-29,,-26,-40,
US,New Mexico,Curry County,-38,-17,-32,-38,-25,16
US,New Mexico,Doña Ana County,-41,-19,-15,-34,-33,12
US,New Mexico,Eddy County,-38,-20,-39,-35,-20,12
US,New Mexico,Grant County,-35,-9,,,-25,2
US,New Mexico,Guadalupe County,-39,-30,,-9,,
US,New Mexico,Hidalgo County,-57,,,-31,,
US,New Mexico,Lea County,-44,-9,-24,-34,-26,13
US,New Mexico,Lincoln County,-71,-41,-72,,-48,
US,New Mexico,Los Alamos County,-70,-33,,,-53,
US,New Mexico,Luna County,-41,-16,-45,-22,-22,
US,New Mexico,McKinley County,-41,1,,-13,-20,22
US,New Mexico,Otero County,-39,-25,-58,,-36,19
US,New Mexico,Quay County,-10,-4,,-7,-25,
US,New Mexico,Rio Arriba County,-30,-20,,,-37,12
US,New Mexico,Roosevelt County,-31,-23,,,-22,
US,New Mexico,San Juan County,-42,-15,2,-38,-26,10
US,New Mexico,San Miguel County,-29,-22,,-41,-29,-1
US,New Mexico,Sandoval County,-34,-13,3,-28,-42,11
US,New Mexico,Santa Fe County,-52,-23,-23,-51,-44,12
US,New Mexico,Sierra County,-44,-4,,,-24,
US,New Mexico,Socorro County,-42,-8,,,-36,
US,New Mexico,Taos County,-59,-29,-36,,-52,1
US,New Mexico,Torrance County,-24,-7,,-8,-25,
US,New Mexico,Union County,,,,-34,,
US,New Mexico,Valencia County,-38,-8,-10,-21,-33,13
US,New York,Albany County,-59,-30,-15,-64,-36,13
US,New York,Allegany County,-40,-15,,,-33,18
US,New York,Bronx County,-64,-30,-51,-55,-50,16
US,New York,Broome County,-51,-27,5,-43,-34,11
US,New York,Cattaraugus County,-40,-15,-37,,-32,18
US,New York,Cayuga County,-39,-15,,-49,-29,20
US,New York,Chautauqua County,-33,-8,-22,,-26,8
US,New York,Chemung County,-48,-14,,-58,-29,14
US,New York,Chenango County,-38,-12,,,-23,20
US,New York,Clinton County,-52,-18,,-67,-29,18
US,New York,Columbia County,-51,-40,,-36,-35,19
US,New York,Cortland County,-42,-9,,,-31,22
US,New York,Delaware County,-48,-23,,,-29,10
US,New York,Dutchess County,-54,-28,-34,-72,-38,14
US,New York,Erie County,-52,-23,64,-49,-37,10
US,New York,Essex County,-68,-35,-70,,-48,3
US,New York,Franklin County,-44,-18,,,-34,17
US,New York,Fulton County,-38,-25,,,-23,15
US,New York,Genesee County,-25,-22,,-56,-27,20
US,New York,Greene County,-46,-30,-48,,-36,17
US,New York,Herkimer County,-45,-19,,-70,-34,18
US,New York,Jefferson County,-48,-24,,,-27,9
US,New York,Kings County,-68,-33,-55,-63,-51,18
US,New York,Lewis County,-49,-17,,,-29,
US,New York,Livingston County,-36,-7,,-37,-30,21
US,New York,Madison County,-40,-18,,-62,-36,22
US,New York,Monroe County,-48,-27,115,-41,-36,11
US,New York,Montgomery County,-40,-20,,2,-23,17
US,New York,Nassau County,-66,-34,-60,-69,-47,19
US,New York,New York County,-86,-51,-79,-78,-57,19
US,New York,Niagara County,-40,-15,14,-59,-33,10
US,New York,Oneida County,-45,-25,-6,-50,-33,10
US,New York,Onondaga County,-53,-29,38,-55,-36,11
US,New York,Ontario County,-55,-21,-26,-62,-35,9
US,New York,Orange County,-58,-38,-24,-61,-40,15
US,New York,Orleans County,-22,-7,,,-27,19
US,New York,Oswego County,-39,-14,15,,-26,10
US,New York,Otsego County,-49,-29,,,-36,19
US,New York,Putnam County,-54,-31,-36,-69,-40,28
US,New York,Queens County,-69,-37,-52,-75,-58,20
US,New York,Rensselaer County,-50,-23,-25,-54,-36,12
US,New York,Richmond County,-59,-31,-48,-60,-42,17
US,New York,Rockland County,-67,-35,-49,-68,-47,20
US,New York,Saratoga County,-60,-29,-48,-52,-35,13
US,New York,Schenectady County,-46,-24,-20,-48,-31,12
US,New York,Schoharie County,-38,-22,,,-19,3
US,New York,Schuyler County,-35,-4,,,-29,
US,New York,Seneca County,-42,31,,-67,-34,15
US,New York,St. Lawrence County,-45,-22,-47,,-30,11
US,New York,Steuben County,-39,-23,-12,-22,-29,10
US,New York,Suffolk County,-58,-31,-42,-70,-41,16
US,New York,Sullivan County,-40,-8,,,-34,18
US,New York,Tioga County,-63,-15,,,-35,19
US,New York,Tompkins County,-59,-34,28,-50,-48,28
US,New York,Ulster County,-53,-30,-41,-69,-35,14
US,New York,Warren County,-56,-21,-46,-43,-36,18
US,New York,Washington County,-48,-19,,,-24,17
US,New York,Wayne County,-31,-8,,,-30,13
US,New York,Westchester County,-64,-37,-47,-66,-47,18
US,New York,Wyoming County,-26,-4,,,-21,19
US,New York,Yates County,-34,-13,,,-31,
US,North Carolina,Alamance County,-39,-7,34,-18,-33,9
US,North Carolina,Alexander County,-24,10,,,-23,12
US,North Carolina,Alleghany County,-31,-11,,,-22,
US,North Carolina,Anson County,-43,2,,,-21,
US,North Carolina,Ashe County,-5,1,,,-29,
US,North Carolina,Avery County,-50,-18,,,-28,
US,North Carolina,Beaufort County,-22,-7,58,,-25,13
US,North Carolina,Bertie County,105,-3,,,-20,
US,North Carolina,Bladen County,-14,5,-27,,-21,12
US,North Carolina,Brunswick County,-27,-11,26,-33,-33,8
US,North Carolina,Buncombe County,-60,-30,-9,-70,-45,13
US,North Carolina,Burke County,-26,-3,30,,-24,7
US,North Carolina,Cabarrus County,-50,-26,6,-33,-41,12
US,North Carolina,Caldwell County,-20,-8,-2,,-29,7
US,North Carolina,Camden County,-41,,,,-30,
US,North Carolina,Carteret County,-25,-13,-2,,-33,8
US,North Carolina,Caswell County,-25,38,,,-32,
US,North Carolina,Catawba County,-41,-8,49,-11,-29,8
US,North Carolina,Chatham County,-21,-20,0,,-35,17
US,North Carolina,Cherokee County,-33,-14,,,-43,1
US,North Carolina,Chowan County,-11,-1,,,-12,
US,North Carolina,Clay County,-26,-14,,,-32,
US,North Carolina,Cleveland County,-33,-5,8,,-27,7
US,North Carolina,Columbus County,-19,3,,,-23,10
US,North Carolina,Craven County,-30,-2,35,-25,-32,7
US,North Carolina,Cumberland County,-31,-11,18,-32,-34,8
US,North Carolina,Currituck County,-14,-7,,,-27,8
US,North Carolina,Dare County,-45,-27,3,,-31,12
US,North Carolina,Davidson County,-32,-12,60,-18,-31,9
US,North Carolina,Davie County,-28,-9,,-27,-30,14
US,North Carolina,Duplin County,-34,-3,,-20,-25,11
US,North Carolina,Durham County,-50,-28,-7,-36,-43,13
US,North Carolina,Edgecombe County,-9,12,,,-26,12
US,North Carolina,Forsyth County,-45,-28,57,-17,-39,11
US,North Carolina,Franklin County,-21,-8,,,-39,16
US,North Carolina,Gaston County,-38,-26,-7,,-33,10
US,North Carolina,Gates County,,,,,-28,
US,North Carolina,Graham County,,,,,-30,
US,North Carolina,Granville County,-18,-14,,,-32,16
US,North Carolina,Greene County,-37,-6,-14,,-31,
US,North Carolina,Guilford County,-47,-29,20,-42,-39,12
US,North Carolina,Halifax County,-23,-8,,,-20,11
US,North Carolina,Harnett County,-23,-3,0,-9,-32,8
US,North Carolina,Haywood County,-40,-21,24,-19,-35,9
US,North Carolina,Henderson County,-49,-26,25,-46,-38,11
US,North Carolina,Hertford County,-46,9,,,-25,
US,North Carolina,Hoke County,-14,3,,,-29,14
US,North Carolina,Iredell County,-35,-7,38,-15,-31,8
US,North Carolina,Jackson County,-40,-25,17,,-51,15
US,North Carolina,Johnston County,-36,-14,21,-14,-33,9
US,North Carolina,Jones County,,-8,,,-22,
US,North Carolina,Lee County,-25,1,,,-27,14
US,North Carolina,Lenoir County,-30,-4,,,-25,12
US,North Carolina,Lincoln County,-16,-2,-31,,-32,7
US,North Carolina,Macon County,-33,-8,-7,,-38,13
US,North Carolina,Madison County,-38,-20,,,-28,
US,North Carolina,Martin County,-21,0,,,-28,
US,North Carolina,McDowell County,-20,-2,35,-23,-18,12
US,North Carolina,Mecklenburg County,-53,-23,1,-70,-43,13
US,North Carolina,Mitchell County,-26,-10,,,-24,
US,North Carolina,Montgomery County,-21,24,9,-19,-24,-1
US,North Carolina,Moore County,-40,-11,21,,-39,9
US,North Carolina,Nash County,-32,-1,-39,-16,-29,7
US,North Carolina,New Hanover County,-43,-17,12,-63,-34,9
US,North Carolina,Northampton County,-62,22,,,-18,
US,North Carolina,Onslow County,-30,-5,25,-61,-29,7
US,North Carolina,Orange County,-56,-39,-20,-50,-44,14
US,North Carolina,Pamlico County,-15,15,,,-29,
US,North Carolina,Pasquotank County,-24,-9,,-49,-31,14
US,North Carolina,Pender County,-17,-2,,,-27,14
US,North Carolina,Perquimans County,-47,-10,,,-24,
US,North Carolina,Person County,-21,15,,,-31,15
US,North Carolina,Pitt County,-47,-20,6,-38,-32,9
US,North Carolina,Polk County,-43,-14,,,-34,
US,North Carolina,Randolph County,-38,-6,-13,,-25,8
US,North Carolina,Richmond County,-31,-2,,,-26,10
US,North Carolina,Robeson County,-27,-3,,-21,-26,6
US,North Carolina,Rockingham County,-20,-3,-12,-8,-30,8
US,North Carolina,Rowan County,-38,-6,66,-28,-30,8
US,North Carolina,Rutherford County,-34,-8,-10,,-29,9
US,North Carolina,Sampson County,-14,4,,,-24,11
US,North Carolina,Scotland County,-25,-4,,,-30,11
US,North Carolina,Stanly County,-18,-13,,,-32,12
US,North Carolina,Stokes County,-33,-6,-25,,-26,12
US,North Carolina,Surry County,-24,-3,-20,-9,-29,12
US,North Carolina,Swain County,-77,9,-31,,-52,
US,North Carolina,Transylvania County,-28,-11,14,,-37,6
US,North Carolina,Union County,-33,-18,4,-17,-38,11
US,North Carolina,Vance County,-24,0,,,-28,13
US,North Carolina,Wake County,-51,-31,-1,-74,-43,13
US,North Carolina,Warren County,-4,18,,,-20,
US,North Carolina,Washington County,-29,8,,,-15,
US,North Carolina,Watauga County,-55,-38,56,,-49,17
US,North Carolina,Wayne County,-30,-5,22,-30,-24,7
US,North Carolina,Wilkes County,-26,3,-49,,-25,10
US,North Carolina,Wilson County,-27,-7,-11,,-26,7
US,North Carolina,Yadkin County,-47,-7,,,-31,11
US,North Carolina,Yancey County,-31,-7,,,-31,
US,North Dakota,Barnes County,-22,,,,-25,
US,North Dakota,Bottineau County,-39,,,,-35,
US,North Dakota,Burleigh County,-44,-14,26,-56,-25,11
US,North Dakota,Cass County,-54,-26,69,-34,-30,12
US,North Dakota,Dunn County,-56,-18,-26,,,
US,North Dakota,Grand Forks County,-46,-20,-48,-38,-28,20
US,North Dakota,McKenzie County,-40,-15,,-25,-14,
US,North Dakota,McLean County,-63,,,,-26,
US,North Dakota,Mercer County,,10,,,-27,
US,North Dakota,Morton County,-33,2,,-12,-24,17
US,North Dakota,Mountrail County,-35,-14,,,-27,
US,North Dakota,Pembina County,,,,,-22,
US,North Dakota,Ramsey County,-39,-27,,,-29,
US,North Dakota,Ransom County,,,,,-13,
US,North Dakota,Richland County,-42,-4,,,-23,
US,North Dakota,Rolette County,-33,,,,-37,
US,North Dakota,Stark County,-29,18,,,-10,14
US,North Dakota,Stutsman County,-25,-15,,,-15,
US,North Dakota,Traill County,,,,,-31,
US,North Dakota,Walsh County,-26,,,,-22,
US,North Dakota,Ward County,-38,-12,,-35,-23,18
US,North Dakota,Williams County,-30,-6,,-25,-21,14
US,Ohio,Adams County,-25,-4,,,-22,-2
US,Ohio,Allen County,-48,-25,13,-31,-29,10
US,Ohio,Ashland County,-38,-12,,,-28,19
US,Ohio,Ashtabula County,-28,-11,-1,-23,-22,8
US,Ohio,Athens County,-50,-20,,,-44,20
US,Ohio,Auglaize County,-49,-19,,,-27,23
US,Ohio,Belmont County,-37,-7,,-28,-27,18
US,Ohio,Brown County,-30,-17,,,-25,19
US,Ohio,Butler County,-45,-20,136,-6,-35,10
US,Ohio,Carroll County,-32,-14,,,-32,0
US,Ohio,Champaign County,-34,-15,,,-33,22
US,Ohio,Clark County,-33,-20,,-19,-34,9
US,Ohio,Clermont County,-40,-22,126,,-37,10
US,Ohio,Clinton County,-40,-11,,30,-34,22
US,Ohio,Columbiana County,-29,-6,,,-31,8
US,Ohio,Coshocton County,-26,-5,,,-27,15
US,Ohio,Crawford County,-32,-20,,,-38,19
US,Ohio,Cuyahoga County,-48,-20,137,-47,-36,10
US,Ohio,Darke County,-30,-11,,,-28,20
US,Ohio,Defiance County,-47,-31,,,-33,23
US,Ohio,Delaware County,-59,-33,171,-32,-43,12
US,Ohio,Erie County,-47,-22,2,,-44,15
US,Ohio,Fairfield County,-44,-18,61,,-36,10
US,Ohio,Fayette County,-40,-25,,-20,-26,9
US,Ohio,Franklin County,-46,-22,106,-47,-40,11
US,Ohio,Fulton County,-42,-20,,-38,-34,24
US,Ohio,Gallia County,-25,-17,,2,-22,
US,Ohio,Geauga County,-37,-23,10,,-36,23
US,Ohio,Greene County,-48,-21,113,,-42,11
US,Ohio,Guernsey County,-31,-25,,-20,-25,15
US,Ohio,Hamilton County,-45,-18,139,-16,-37,10
US,Ohio,Hancock County,-51,-30,,-28,-45,25
US,Ohio,Hardin County,-26,-10,,,-32,13
US,Ohio,Harrison County,-28,2,,,-22,
US,Ohio,Henry County,-38,-18,,-26,-29,13
US,Ohio,Highland County,-15,-9,,,-30,19
US,Ohio,Hocking County,-30,3,25,,-31,-3
US,Ohio,Holmes County,-26,-18,,,-24,-1
US,Ohio,Huron County,-41,-16,,,-36,19
US,Ohio,Jackson County,-22,-9,,-22,-22,-1
US,Ohio,Jefferson County,-26,-18,,-15,-27,15
US,Ohio,Knox County,-28,-15,,,-33,20
US,Ohio,Lake County,-47,-22,146,-43,-32,10
US,Ohio,Lawrence County,-26,-14,,,-25,16
US,Ohio,Licking County,-35,-18,39,-24,-32,9
US,Ohio,Logan County,-32,4,,,-41,26
US,Ohio,Lorain County,-42,-15,-8,-60,-35,10
US,Ohio,Lucas County,-52,-25,78,-21,-35,10
US,Ohio,Madison County,-28,-12,,-16,-38,22
US,Ohio,Mahoning County,-42,-17,-25,-24,-36,9
US,Ohio,Marion County,-39,-19,,,-35,19
US,Ohio,Medina County,-45,-19,,-26,-37,11
US,Ohio,Meigs County,-31,,,,-24,
US,Ohio,Mercer County,-44,-16,,,-30,24
US,Ohio,Miami County,-39,-20,-7,,-32,10
US,Ohio,Monroe County,-46,-17,,,-38,
US,Ohio,Montgomery County,-44,-16,104,-32,-36,10
US,Ohio,Morgan County,-42,0,,,-39,
US,Ohio,Morrow County,-36,-13,,-35,-29,20
US,Ohio,Muskingum County,-37,-22,,-22,-26,7
US,Ohio,Noble County,-55,-15,,-24,-33,
US,Ohio,Ottawa County,-30,-2,,,-27,21
US,Ohio,Paulding County,-51,-7,,,-26,
US,Ohio,Perry County,-10,-5,,,-20,10
US,Ohio,Pickaway County,-27,-12,,-8,-28,20
US,Ohio,Pike County,-31,-15,,,-32,
US,Ohio,Portage County,-41,-14,26,-43,-35,10
US,Ohio,Preble County,-30,-22,,-18,-32,22
US,Ohio,Putnam County,-41,-8,,,-34,16
US,Ohio,Richland County,-50,-23,,-25,-33,9
US,Ohio,Ross County,-37,-10,-28,-7,-28,17
US,Ohio,Sandusky County,-43,-16,,-47,-30,22
US,Ohio,Scioto County,-29,-18,,,-20,15
US,Ohio,Seneca County,-35,-19,,,-37,23
US,Ohio,Shelby County,-27,-29,,-22,-31,23
US,Ohio,Stark County,-40,-18,167,10,-32,9
US,Ohio,Summit County,-42,-17,139,-24,-36,10
US,Ohio,Trumbull County,-36,-9,80,-12,-30,8
US,Ohio,Tuscarawas County,-31,-12,,,-31,8
US,Ohio,Union County,-46,-22,,,-35,30
US,Ohio,Van Wert County,-39,-25,,,-27,19
US,Ohio,Vinton County,-56,2,,,-35,
US,Ohio,Warren County,-47,-17,23,-21,-40,11
US,Ohio,Washington County,-41,-18,,,-34,19
US,Ohio,Wayne County,-43,-18,,-33,-32,10
US,Ohio,Williams County,-38,-20,,-42,-38,23
US,Ohio,Wood County,-51,-37,-7,-23,-36,11
US,Ohio,Wyandot County,-41,-5,,-21,-45,6
US,Oklahoma,Adair County,-3,8,,,-23,
US,Oklahoma,Atoka County,-19,-19,,-26,-27,
US,Oklahoma,Beckham County,-20,-9,,-10,-13,
US,Oklahoma,Blaine County,-12,-1,,,-23,
US,Oklahoma,Bryan County,-30,-25,,-21,-34,15
US,Oklahoma,Caddo County,-17,-1,,-10,-35,
US,Oklahoma,Canadian County,-33,-20,85,-9,-37,10
US,Oklahoma,Carter County,-27,1,,-16,-29,14
US,Oklahoma,Cherokee County,-26,-5,-38,,-33,17
